"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
29,"30% : 70%",2,36.0,84.0,6.988683000000003,1.0,7.988683000000003,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
30,"20% : 80%",2,24.0,96.0,6.778766000000001,1.0,7.778766000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
31,"10% : 90%",2,12.0,108.0,6.744207000000001,1.0,7.744207000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
32,"0% : 100%",2,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"gpba"
33,"100% : 0%",3,120.0,"",6.8714200000000005,"",6.8714200000000005,11.0,"",11.0,0.016400029591189014,"",0.016400029591189014,"gpba"
34,"90% : 10%",3,108.0,12.0,6.899415,1.0,7.899415,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
35,"80% : 20%",3,96.0,24.0,6.879317,1.0,7.879317,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
36,"70% : 30%",3,84.0,36.0,6.836658000000002,1.0,7.836658000000002,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
37,"60% : 40%",3,72.0,48.0,6.809611,1.0,7.809611,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
38,"50% : 50%",3,60.0,60.0,6.837002,1.0,7.837002,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
39,"40% : 60%",3,48.0,72.0,6.9558729999999995,1.0,7.9558729999999995,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
40,"30% : 70%",3,36.0,84.0,6.958801999999998,1.0,7.958801999999998,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
41,"20% : 80%",3,24.0,96.0,6.733133,1.0,7.733133,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
42,"10% : 90%",3,12.0,108.0,6.76104,1.0,7.76104,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
43,"0% : 100%",3,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"gpba"
44,"100% : 0%",4,120.0,"",6.861905000000001,"",6.861905000000001,11.0,"",11.0,0.016400029591189014,"",0.016400029591189014,"gpba"
45,"90% : 10%",4,108.0,12.0,6.874988999999999,1.0,7.874988999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
46,"80% : 20%",4,96.0,24.0,6.896356000000002,1.0,7.896356000000002,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
47,"70% : 30%",4,84.0,36.0,6.8681980000000005,1.0,7.8681980000000005,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
48,"60% : 40%",4,72.0,48.0,6.866916000000001,1.0,7.866916000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
49,"50% : 50%",4,60.0,60.0,6.8069120000000005,1.0,7.8069120000000005,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
50,"40% : 60%",4,48.0,72.0,6.927860000000001,1.0,7.927860000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
51,"30% : 70%",4,36.0,84.0,6.898858,1.0,7.898858,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
52,"20% : 80%",4,24.0,96.0,6.727135999999999,1.0,7.727135999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
53,"10% : 90%",4,12.0,108.0,6.743103999999998,1.0,7.743103999999998,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
54,"0% : 100%",4,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"gpba"
55,"100% : 0%",5,120.0,"",6.9182,"",6.9182,11.0,"",11.0,0.016400029591189014,"",0.016400029591189014,"gpba"
56,"90% : 10%",5,108.0,12.0,6.930113,1.0,7.930113,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
57,"80% : 20%",5,96.0,24.0,6.896629000000001,1.0,7.896629000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
58,"70% : 30%",5,84.0,36.0,6.835814000000001,1.0,7.835814000000001,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
59,"60% : 40%",5,72.0,48.0,6.852691,1.0,7.852691,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
60,"50% : 50%",5,60.0,60.0,6.854293999999999,1.0,7.854293999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
61,"40% : 60%",5,48.0,72.0,6.923799,1.0,7.923799,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
