"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
4,"60% : 40%",0,72.0,48.0,72.0,34.0,106.0,22.0,283.0,305.0,0.41871318635824545,0.41948191517743216,0.41948191517743216,"gpba"
5,"50% : 50%",0,60.0,60.0,60.0,33.0,93.0,19.0,287.0,306.0,0.41850537200624677,0.41947733438943324,0.41947733438943324,"gpba"
6,"40% : 60%",0,48.0,72.0,48.0,40.0,88.0,16.0,287.0,303.0,0.4138400457406386,0.4192731033980397,0.4192731033980397,"gpba"
7,"30% : 70%",0,36.0,84.0,36.0,40.0,76.0,14.0,289.0,303.0,0.4137815236884729,0.4192731033980397,0.4192731033980397,"gpba"
8,"20% : 80%",0,24.0,96.0,24.0,43.0,67.0,10.0,293.0,303.0,0.41342175943819226,0.41927053280516813,0.41927053280516813,"gpba"
9,"10% : 90%",0,12.0,108.0,12.0,42.0,54.0,5.0,304.0,309.0,0.4104958546691765,0.4191381615624614,0.4191381615624614,"gpba"
10,"0% : 100%",0,"",120.0,"",120.0,120.0,"",222.0,222.0,"",0.35287278242625175,0.35287278242625175,"gpba"
11,"100% : 0%",1,120.0,"",104.11128000000001,"",104.11128000000001,32.0,"",32.0,0.419039870445994,"",0.419039870445994,"gpba"
12,"90% : 10%",1,108.0,12.0,102.04930800000001,12.0,114.04930800000001,32.0,224.0,256.0,0.419039870445994,0.419487118892069,0.419487118892069,"gpba"
13,"80% : 20%",1,96.0,24.0,96.0,24.0,120.0,30.0,296.0,326.0,0.41903817564593626,0.4194968467136546,0.4194968467136546,"gpba"
14,"70% : 30%",1,84.0,36.0,84.0,33.0,117.0,25.0,287.0,312.0,0.41900668144603626,0.419493921258992,0.419493921258992,"gpba"
15,"60% : 40%",1,72.0,48.0,72.0,34.0,106.0,22.0,283.0,305.0,0.41871318635824545,0.41948191517743216,0.41948191517743216,"gpba"
16,"50% : 50%",1,60.0,60.0,60.0,33.0,93.0,19.0,287.0,306.0,0.41850537200624677,0.41947733438943324,0.41947733438943324,"gpba"
17,"40% : 60%",1,48.0,72.0,48.0,40.0,88.0,16.0,287.0,303.0,0.4138400457406386,0.4192731033980397,0.4192731033980397,"gpba"
18,"30% : 70%",1,36.0,84.0,36.0,40.0,76.0,14.0,289.0,303.0,0.4137815236884729,0.4192731033980397,0.4192731033980397,"gpba"
19,"20% : 80%",1,24.0,96.0,24.0,42.0,66.0,10.0,293.0,303.0,0.41342175943819226,0.41927053280516813,0.41927053280516813,"gpba"
20,"10% : 90%",1,12.0,108.0,12.0,42.0,54.0,5.0,304.0,309.0,0.4104958546691765,0.4191381615624614,0.4191381615624614,"gpba"
