"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
19,"20% : 80%",1,24.0,96.0,3.0113219999999994,1.0,4.011322,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
20,"10% : 90%",1,12.0,108.0,3.046751,1.0,4.046751,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
21,"0% : 100%",1,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"gpba"
22,"100% : 0%",2,120.0,"",3.0420489999999996,"",3.0420489999999996,17.0,"",17.0,0.2844864198979683,"",0.2844864198979683,"gpba"
23,"90% : 10%",2,108.0,12.0,3.0278270000000007,1.0,4.027827,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
24,"80% : 20%",2,96.0,24.0,3.057043,1.0,4.057043,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
25,"70% : 30%",2,84.0,36.0,3.0424040000000003,1.0,4.042404,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
26,"60% : 40%",2,72.0,48.0,3.0804270000000002,1.0,4.080427,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
27,"50% : 50%",2,60.0,60.0,3.0648139999999997,1.0,4.064814,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
28,"40% : 60%",2,48.0,72.0,3.043781,1.0,4.043781,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
29,"30% : 70%",2,36.0,84.0,3.0402929999999997,1.0,4.040293,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
30,"20% : 80%",2,24.0,96.0,3.057114,1.0,4.057114,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
31,"10% : 90%",2,12.0,108.0,3.02485,1.0,4.02485,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
32,"0% : 100%",2,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"gpba"
33,"100% : 0%",3,120.0,"",3.205249,"",3.205249,17.0,"",17.0,0.2844864198979683,"",0.2844864198979683,"gpba"
34,"90% : 10%",3,108.0,12.0,3.0998870000000003,1.0,4.099887000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
35,"80% : 20%",3,96.0,24.0,3.087996999999999,1.0,4.087997,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
36,"70% : 30%",3,84.0,36.0,3.0627660000000008,1.0,4.062766000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
37,"60% : 40%",3,72.0,48.0,3.0946640000000007,1.0,4.094664000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
38,"50% : 50%",3,60.0,60.0,3.0379729999999996,1.0,4.037972999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
39,"40% : 60%",3,48.0,72.0,3.036476,1.0,4.036476,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
40,"30% : 70%",3,36.0,84.0,3.0116419999999997,1.0,4.011642,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
41,"20% : 80%",3,24.0,96.0,3.0489829999999998,1.0,4.048983,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
42,"10% : 90%",3,12.0,108.0,3.0390379999999992,1.0,4.039038,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
43,"0% : 100%",3,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"gpba"
44,"100% : 0%",4,120.0,"",3.0520130000000005,"",3.0520130000000005,17.0,"",17.0,0.2844864198979683,"",0.2844864198979683,"gpba"
45,"90% : 10%",4,108.0,12.0,3.0568619999999997,1.0,4.056862,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
46,"80% : 20%",4,96.0,24.0,3.1204919999999996,1.0,4.120492,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
47,"70% : 30%",4,84.0,36.0,3.0597029999999994,1.0,4.059702999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
48,"60% : 40%",4,72.0,48.0,3.084541,1.0,4.084541,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
49,"50% : 50%",4,60.0,60.0,3.028746,1.0,4.028746,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
50,"40% : 60%",4,48.0,72.0,3.0302669999999994,1.0,4.030266999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
51,"30% : 70%",4,36.0,84.0,3.0270269999999995,1.0,4.0270269999999995,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
52,"20% : 80%",4,24.0,96.0,3.0440990000000006,1.0,4.044099000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
53,"10% : 90%",4,12.0,108.0,3.057677,1.0,4.057677,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
54,"0% : 100%",4,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"gpba"
55,"100% : 0%",5,120.0,"",3.0141090000000004,"",3.0141090000000004,17.0,"",17.0,0.2844864198979683,"",0.2844864198979683,"gpba"
56,"90% : 10%",5,108.0,12.0,3.116906,1.0,4.116906,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
57,"80% : 20%",5,96.0,24.0,3.0628850000000005,1.0,4.0628850000000005,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
58,"70% : 30%",5,84.0,36.0,3.047475000000001,1.0,4.047475,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
59,"60% : 40%",5,72.0,48.0,3.1074209999999995,1.0,4.1074209999999995,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
60,"50% : 50%",5,60.0,60.0,3.0301600000000004,1.0,4.03016,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
61,"40% : 60%",5,48.0,72.0,3.02823,1.0,4.028230000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
62,"30% : 70%",5,36.0,84.0,3.0411319999999997,1.0,4.041131999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
63,"20% : 80%",5,24.0,96.0,3.0155100000000004,1.0,4.015510000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
64,"10% : 90%",5,12.0,108.0,3.0371300000000008,1.0,4.037130000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
