"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,43.0,"",43.0,0.4035006156931051,"",0.4035006156931051,"gpba"
23,"90% : 10%",2,108.0,12.0,108.0,12.0,120.0,43.0,470.0,513.0,0.4035006156931051,0.40533228954307005,0.40533228954307005,"gpba"
24,"80% : 20%",2,96.0,24.0,96.03055,24.0,120.03055,39.0,647.0,686.0,0.4034849569970005,0.4053466498339561,0.4053466498339561,"gpba"
25,"70% : 30%",2,84.0,36.0,84.0,36.0,120.0,35.0,713.0,748.0,0.4034315951519729,0.40534582363551735,0.40534582363551735,"gpba"
26,"60% : 40%",2,72.0,48.0,72.0,47.0,119.0,31.0,724.0,755.0,0.4033592762545006,0.4053429800843163,0.4053429800843163,"gpba"
27,"50% : 50%",2,60.0,60.0,60.0,51.0,111.0,26.0,736.0,762.0,0.4028420423698008,0.40533948050532737,0.40533948050532737,"gpba"
28,"40% : 60%",2,48.0,72.0,48.0,51.0,99.0,21.0,735.0,756.0,0.4021031770061521,0.405336728242533,0.405336728242533,"gpba"
29,"30% : 70%",2,36.0,84.0,36.0,57.0,93.0,17.0,765.0,782.0,0.39921341970321067,0.4053380253199832,0.4053380253199832,"gpba"
30,"20% : 80%",2,24.0,96.0,24.0,59.0,83.0,14.0,741.0,755.0,0.3979982976361294,0.40533960954135595,0.40533960954135595,"gpba"
31,"10% : 90%",2,12.0,108.0,12.0,66.0,78.0,8.0,757.0,765.0,0.37239816051410835,0.40533153190797644,0.40533153190797644,"gpba"
32,"0% : 100%",2,"",120.0,"",120.0,120.0,"",326.0,326.0,"",0.40130737674933403,0.40130737674933403,"gpba"
33,"100% : 0%",3,120.0,"",120.0,"",120.0,45.0,"",45.0,0.40350156890259026,"",0.40350156890259026,"gpba"
34,"90% : 10%",3,108.0,12.0,108.0,12.0,120.0,43.0,470.0,513.0,0.4035006156931051,0.40533228954307005,0.40533228954307005,"gpba"
