"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
91,"70% : 30%",8,84.0,36.0,84.0,7.0,91.0,158.0,269.0,427.0,0.7701894153960499,0.7703034331982851,0.7703034331982851,"aneja"
92,"60% : 40%",8,72.0,48.0,72.0,8.0,80.0,142.0,304.0,446.0,0.770074802775621,0.7702829058895838,0.7702829058895838,"aneja"
93,"50% : 50%",8,60.0,60.0,60.0,8.0,68.0,126.0,311.0,437.0,0.7700470065565674,0.7702797788428327,0.7702797788428327,"aneja"
94,"40% : 60%",8,48.0,72.0,48.0,7.0,55.0,107.0,261.0,368.0,0.7697660100284386,0.7702729290165531,0.7702729290165531,"aneja"
95,"30% : 70%",8,36.0,84.0,36.0,7.0,43.0,91.0,271.0,362.0,0.7697002472178819,0.7702631823815913,0.7702631823815913,"aneja"
96,"20% : 80%",8,24.0,96.0,24.0,7.0,31.0,63.0,302.0,365.0,0.7690432928082455,0.7702237268825708,0.7702237268825708,"aneja"
97,"10% : 90%",8,12.0,108.0,12.0,8.0,20.0,35.0,372.0,407.0,0.7672466221602413,0.7702137891479213,0.7702137891479213,"aneja"
98,"0% : 100%",8,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
99,"100% : 0%",9,120.0,"",120.0,"",120.0,195.0,"",195.0,0.7702183963210487,"",0.7702183963210487,"aneja"
100,"90% : 10%",9,108.0,12.0,108.0,7.0,115.0,175.0,258.0,433.0,0.7701992650756515,0.770304212713623,0.770304212713623,"aneja"
101,"80% : 20%",9,96.0,24.0,96.0,7.0,103.0,170.0,262.0,432.0,0.7701957765218267,0.770304073737851,0.770304073737851,"aneja"
102,"70% : 30%",9,84.0,36.0,53.09973800000002,8.0,61.09973800000002,159.0,270.0,429.0,0.7701918406928675,0.7703035829789668,0.7703035829789668,"aneja"
103,"60% : 40%",9,72.0,48.0,72.0,8.0,80.0,138.0,308.0,446.0,0.7700652126961187,0.7702827726362138,0.7702827726362138,"aneja"
104,"50% : 50%",9,60.0,60.0,60.0,8.0,68.0,126.0,311.0,437.0,0.7700470065565674,0.7702797788428327,0.7702797788428327,"aneja"
105,"40% : 60%",9,48.0,72.0,48.0,7.0,55.0,107.0,261.0,368.0,0.7697660100284386,0.7702729290165531,0.7702729290165531,"aneja"
106,"30% : 70%",9,36.0,84.0,29.31707499999999,7.0,36.31707499999999,81.0,286.0,367.0,0.7696482792470423,0.770260853246586,0.770260853246586,"aneja"
107,"20% : 80%",9,24.0,96.0,24.0,7.0,31.0,64.0,301.0,365.0,0.7690493717687826,0.7702237268825708,0.7702237268825708,"aneja"
108,"10% : 90%",9,12.0,108.0,12.0,7.0,19.0,36.0,371.0,407.0,0.76730168142624,0.7702137891479213,0.7702137891479213,"aneja"
109,"0% : 100%",9,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
0,"100% : 0%",0,120.0,"",10.587765000000006,"",10.587765000000006,36.0,"",36.0,0.7657933726952031,"",0.7657933726952031,"gpba"
